0 1 2
0 3 4
0 5 6
0 7 8
0 9 10
0 11 12
1 13 14
1 15 16
1 17 18
1 19 20
1 21 22
2 23 24
2 25 26
2 27 28
2 29 30
2 31 32
3 13 23
3 15 25
3 17 27
3 19 29
3 21 31
4 14 24
4 16 26
4 18 28
4 20 30
4 22 32
5 13 26
5 15 24
5 17 30
5 19 28
5 21 33
6 14 25
6 16 23
6 18 29
6 20 27
6 22 34
7 13 32
7 15 34
7 17 35
7 19 36
7 21 37
8 14 31
8 16 33
8 18 38
8 20 39
8 22 40
9 13 38
9 15 39
9 17 40
9 19 41
9 21 42
10 14 35
10 16 36
10 18 37
10 20 43
10 22 44
11 13 43
11 15 44
11 17 45
11 19 46
11 21 47
12 14 41
12 16 42
12 18 48
12 20 49
12 22 -1
23 35 39
23 37 40
23 41 44
24 36 38
24 42 43
24 45 48
25 33 43
25 36 40
25 45 49
26 34 41
26 35 46
26 37 -1
27 33 41
27 36 47
27 37 -1
28 34 42
28 35 49
28 40 -1
29 33 35
29 40 -1
29 42 44
30 34 38
30 37 -1
30 46 48
31 34 45
31 36 -1
31 43 -1
32 33 48
32 39 47
32 42 -1
38 44 49
38 -1 -1
39 45 -1
39 -1 -1
